,code,date,url
160,mx,2016-02-08,https://spotifycharts.com/regional/mx/daily/2016-02-08/download
161,mx,2016-02-09,https://spotifycharts.com/regional/mx/daily/2016-02-09/download
162,mx,2016-02-10,https://spotifycharts.com/regional/mx/daily/2016-02-10/download
163,mx,2016-02-11,https://spotifycharts.com/regional/mx/daily/2016-02-11/download
164,mx,2016-02-12,https://spotifycharts.com/regional/mx/daily/2016-02-12/download
165,mx,2016-02-13,https://spotifycharts.com/regional/mx/daily/2016-02-13/download
166,mx,2016-02-14,https://spotifycharts.com/regional/mx/daily/2016-02-14/download
167,mx,2016-02-15,https://spotifycharts.com/regional/mx/daily/2016-02-15/download
168,mx,2016-02-16,https://spotifycharts.com/regional/mx/daily/2016-02-16/download
169,mx,2016-02-17,https://spotifycharts.com/regional/mx/daily/2016-02-17/download
170,mx,2016-02-18,https://spotifycharts.com/regional/mx/daily/2016-02-18/download
171,mx,2016-02-19,https://spotifycharts.com/regional/mx/daily/2016-02-19/download
172,mx,2016-02-20,https://spotifycharts.com/regional/mx/daily/2016-02-20/download
173,mx,2016-02-21,https://spotifycharts.com/regional/mx/daily/2016-02-21/download
174,mx,2016-02-22,https://spotifycharts.com/regional/mx/daily/2016-02-22/download
175,mx,2016-02-23,https://spotifycharts.com/regional/mx/daily/2016-02-23/download
176,mx,2016-02-24,https://spotifycharts.com/regional/mx/daily/2016-02-24/download
177,mx,2016-02-25,https://spotifycharts.com/regional/mx/daily/2016-02-25/download
178,mx,2016-02-26,https://spotifycharts.com/regional/mx/daily/2016-02-26/download
179,mx,2016-02-27,https://spotifycharts.com/regional/mx/daily/2016-02-27/download
180,mx,2016-02-28,https://spotifycharts.com/regional/mx/daily/2016-02-28/download
181,mx,2016-02-29,https://spotifycharts.com/regional/mx/daily/2016-02-29/download
182,mx,2016-03-01,https://spotifycharts.com/regional/mx/daily/2016-03-01/download
183,mx,2016-03-02,https://spotifycharts.com/regional/mx/daily/2016-03-02/download
184,mx,2016-03-03,https://spotifycharts.com/regional/mx/daily/2016-03-03/download
185,mx,2016-03-04,https://spotifycharts.com/regional/mx/daily/2016-03-04/download
186,mx,2016-03-05,https://spotifycharts.com/regional/mx/daily/2016-03-05/download
187,mx,2016-03-06,https://spotifycharts.com/regional/mx/daily/2016-03-06/download
188,mx,2016-03-07,https://spotifycharts.com/regional/mx/daily/2016-03-07/download
189,mx,2016-03-08,https://spotifycharts.com/regional/mx/daily/2016-03-08/download
190,mx,2016-03-09,https://spotifycharts.com/regional/mx/daily/2016-03-09/download
191,mx,2016-03-10,https://spotifycharts.com/regional/mx/daily/2016-03-10/download
192,mx,2016-03-11,https://spotifycharts.com/regional/mx/daily/2016-03-11/download
193,mx,2016-03-12,https://spotifycharts.com/regional/mx/daily/2016-03-12/download
194,mx,2016-03-13,https://spotifycharts.com/regional/mx/daily/2016-03-13/download
195,mx,2016-03-14,https://spotifycharts.com/regional/mx/daily/2016-03-14/download
196,mx,2016-03-15,https://spotifycharts.com/regional/mx/daily/2016-03-15/download
197,mx,2016-03-16,https://spotifycharts.com/regional/mx/daily/2016-03-16/download
198,mx,2016-03-17,https://spotifycharts.com/regional/mx/daily/2016-03-17/download
199,mx,2016-03-18,https://spotifycharts.com/regional/mx/daily/2016-03-18/download
200,mx,2016-03-19,https://spotifycharts.com/regional/mx/daily/2016-03-19/download
201,mx,2016-03-20,https://spotifycharts.com/regional/mx/daily/2016-03-20/download
202,mx,2016-03-21,https://spotifycharts.com/regional/mx/daily/2016-03-21/download
203,mx,2016-03-22,https://spotifycharts.com/regional/mx/daily/2016-03-22/download
204,mx,2016-03-23,https://spotifycharts.com/regional/mx/daily/2016-03-23/download
205,mx,2016-03-24,https://spotifycharts.com/regional/mx/daily/2016-03-24/download
206,mx,2016-03-25,https://spotifycharts.com/regional/mx/daily/2016-03-25/download
207,mx,2016-03-26,https://spotifycharts.com/regional/mx/daily/2016-03-26/download
208,mx,2016-03-27,https://spotifycharts.com/regional/mx/daily/2016-03-27/download
209,mx,2016-03-28,https://spotifycharts.com/regional/mx/daily/2016-03-28/download
210,mx,2016-03-29,https://spotifycharts.com/regional/mx/daily/2016-03-29/download
211,mx,2016-03-30,https://spotifycharts.com/regional/mx/daily/2016-03-30/download
212,mx,2016-03-31,https://spotifycharts.com/regional/mx/daily/2016-03-31/download
213,mx,2016-04-01,https://spotifycharts.com/regional/mx/daily/2016-04-01/download
214,mx,2016-04-02,https://spotifycharts.com/regional/mx/daily/2016-04-02/download
215,mx,2016-04-03,https://spotifycharts.com/regional/mx/daily/2016-04-03/download
216,mx,2016-04-04,https://spotifycharts.com/regional/mx/daily/2016-04-04/download
217,mx,2016-04-05,https://spotifycharts.com/regional/mx/daily/2016-04-05/download
218,mx,2016-04-06,https://spotifycharts.com/regional/mx/daily/2016-04-06/download
219,mx,2016-04-07,https://spotifycharts.com/regional/mx/daily/2016-04-07/download
220,mx,2016-04-08,https://spotifycharts.com/regional/mx/daily/2016-04-08/download
221,mx,2016-04-09,https://spotifycharts.com/regional/mx/daily/2016-04-09/download
222,mx,2016-04-10,https://spotifycharts.com/regional/mx/daily/2016-04-10/download
223,mx,2016-04-11,https://spotifycharts.com/regional/mx/daily/2016-04-11/download
224,mx,2016-04-12,https://spotifycharts.com/regional/mx/daily/2016-04-12/download
225,mx,2016-04-13,https://spotifycharts.com/regional/mx/daily/2016-04-13/download
226,mx,2016-04-14,https://spotifycharts.com/regional/mx/daily/2016-04-14/download
227,mx,2016-04-15,https://spotifycharts.com/regional/mx/daily/2016-04-15/download
228,mx,2016-04-16,https://spotifycharts.com/regional/mx/daily/2016-04-16/download
229,mx,2016-04-17,https://spotifycharts.com/regional/mx/daily/2016-04-17/download
230,mx,2016-04-18,https://spotifycharts.com/regional/mx/daily/2016-04-18/download
231,mx,2016-04-19,https://spotifycharts.com/regional/mx/daily/2016-04-19/download
232,mx,2016-04-20,https://spotifycharts.com/regional/mx/daily/2016-04-20/download
